YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,POPULATION_DENSITY,DISEASE_COUNT
1990,30.5,250,610,67
1991,30.007185916647952,301.1146527083749,630,67
1992,28.38926683697253,354.949286155768,642,64
1993,27.402519058872677,413.5792672096019,656,61
1994,32.294838545523106,454.9943920088833,669,84
1995,33.214676548584606,514.5066164277988,686,89
1996,32.55564259265051,563.4146383422442,702,90
1997,32.809901684001204,623.0773098315406,719,94
1998,28.537409025564024,679.6566664018808,737,78
1999,29.39789168128269,733.2051528081703,755,85
2000,28.072697507461378,782.5643735123462,774,82
2001,28.717728964329858,841.7731872522314,786,87
2002,29.335097932622364,896.2078928600715,800,92
2003,33.02288717007661,946.5404988842395,812,107
2004,32.68332456222918,994.0210752094663,825,110
2005,31.452902773229308,1038.5806841262893,836,106
2006,27.321013994470622,1082.5960992265761,851,92
2007,30.286976861270958,1142.4386526179558,863,105
2008,28.173444361680453,1199.2025473212022,877,99
2009,27.513139849451235,1255.8524247484402,890,100
2010,31.000925700538527,1307.0311083223944,905,115
2011,28.899110155115196,1363.1289372074034,917,109
2012,29.033915730253003,1406.2085106464422,929,112
2013,30.54081631791446,1464.745793624167,941,119
2014,31.98747412114472,1518.1845998273761,958,128
2015,27.280696658683127,1559.8491777503493,976,108
2016,27.16116531576806,1611.7423189800263,991,113
2017,30.08125007496639,1671.2385636689376,1003,128
2018,33.27316622185292,1713.8990150128352,1023,143
2019,32.71250217871575,1762.5961117513361,1038,143
2020,27.129380147301088,1818.6333578560077,1051,123
