YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,POPULATION_DENSITY,DISEASE_COUNT
2000,30.5,250,610,72
2001,29.81240882065793,260.69991694521065,614,76
2002,27.336917372843466,276.44082955521486,618,44
2003,32.247646232823435,290.34720826859035,622,158
2004,27.829135501160284,309.30030154996564,626,96
2005,31.779577760595924,319.38116137726723,628,187
2006,27.13773525709526,337.40599985724936,630,114
2007,32.4275197018775,348.40203488062883,634,237
2008,30.870804309505193,362.245995028883,638,224
2009,28.15227757503296,373.76624826969936,642,190
2010,30.321551914675005,388.6853936168648,646,251
