YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,POPULATION_DENSITY,DISEASE_COUNT
2000,25.5,980,410,71
2001,26.525287079864462,1036.6605585485468,422,83
2002,22.265449051683984,1090.9888321434435,436,71
2003,28.967324821388345,1150.3149630361543,455,103
2004,27.456177913480765,1190.6684766520646,472,105
2005,22.295397694364333,1235.6700772020986,483,91
2006,23.294997662043443,1284.0689530880118,493,100
2007,24.93400257576981,1334.9681989935862,503,112
2008,23.492833956132515,1381.7210138130429,515,113
2009,23.490134111535003,1423.9333843394108,534,121
2010,23.368193343139332,1476.1711232204052,548,127
