YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,POPULATION_DENSITY,DISEASE_COUNT
2000,30.5,250,610,148
2001,31.517083235990338,243.60382461281066,614,158
2002,27.34423002716331,241.32081433698093,617,133
2003,33.46826568799425,236.72951593695856,620,166
2004,31.829208154306073,233.03342778292944,623,154
2005,32.07326704766917,229.116250732443,626,159
2006,31.4903021803775,220.04099468796127,630,143
2007,29.656223902001038,216.81073261929015,634,142
2008,29.322467657918864,215.9152800201995,637,152
2009,32.49531192981566,207.77201640894705,641,154
2010,31.573028191581777,204.79298597285478,645,159
