YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,POPULATION_DENSITY,DISEASE_COUNT
2000,30.5,250,610,72
2001,27.95947535758409,295.4998405396453,624,63
2002,30.83898860545913,351.0158396604721,635,86
2003,33.676952520569884,404.92094508895525,647,104
2004,31.398840402378614,460.7532551305584,663,101
2005,29.95207943547666,504.1172493107777,676,100
2006,28.884078347637356,552.7853118754243,695,100
2007,29.961928288372107,612.500455103718,705,113
2008,28.876812620389167,653.877188628998,717,112
2009,29.07935305113196,695.9733327296574,731,119
2010,29.093827372097024,744.8203082898316,751,125
