YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,POPULATION_DENSITY,DISEASE_COUNT
2000,30.5,250,610,65
2001,31.052261464146557,285.15746841801086,614,76
2002,30.104346203031408,306.8680261169875,617,78
2003,32.278518098030105,334.1216264855485,620,94
2004,27.97000808350022,375.74892022493964,624,82
2005,30.297321800960383,414.0125187879149,626,100
2006,33.61957377076433,447.1093841770104,628,121
2007,31.318538882449626,467.3372760316478,630,114
2008,33.31176389197571,481.5785952289611,633,128
2009,27.709966357359793,518.3675096469044,636,108
2010,31.87969116940036,541.5086032789187,638,133
