YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,POPULATION_DENSITY,DISEASE_COUNT
1990,30.5,250,610,64
1991,27.900531857170037,290.64261719459597,627,55
1992,27.446070020566264,346.1327494850741,647,56
1993,32.31469899480235,387.6873468817511,660,80
1994,27.66281870207763,431.1098167276063,670,61
1995,30.43922190804242,475.61132870089966,680,74
1996,31.988586784266943,528.4866544687288,699,82
1997,29.129111528420474,585.5679328735115,711,75
1998,31.211889032031806,638.6810670030703,724,85
1999,32.44282975529128,684.7429374817657,741,96
2000,27.796267419710922,742.5618673643992,761,76
2001,32.28332415602963,800.9675427371253,775,100
2002,32.79764843474853,843.6629359846261,789,103
2003,29.34284825994279,898.1341785183848,805,91
2004,30.828258054583006,942.9081678501082,820,100
2005,32.71710067134646,987.0600427004993,839,110
2006,31.362719251193603,1032.582810504664,853,106
2007,31.52834714672197,1073.043952374275,868,110
2008,29.050252209103693,1124.9659612508722,884,101
2009,30.914666531364993,1171.2847187320174,901,112
2010,30.011229548304843,1214.6446216116994,913,109
2011,30.455342322774502,1273.0463545438863,930,115
2012,32.2936589566808,1327.537376424532,946,125
2013,31.285919992166875,1373.414958574132,959,123
2014,30.6301492139034,1419.6700561665039,974,122
2015,27.8608264079094,1466.851810199454,985,114
2016,27.77127062298387,1522.0140415075793,1001,118
2017,30.227816356617065,1571.7509991596842,1020,127
2018,28.937944177245882,1622.9878394667353,1030,125
2019,30.05385083658112,1677.9016525813097,1043,131
2020,33.05057408959179,1723.9042211977114,1060,148
