YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,POPULATION_DENSITY,DISEASE_COUNT
2000,20.5,780,410,59
2001,20.903783613034598,803.814466786443,411,114
2002,22.79916306020488,838.1903920686703,415,189
2003,17.152619958759686,884.01731892919,418,79
2004,21.61854306600383,895.9797115458085,419,193
2005,20.01460749927797,914.8528860818303,421,173
2006,21.772335487035747,900.5930871155207,423,220
2007,22.507633284157173,874.2428349890015,424,230
2008,17.109097315016147,826.8477118616128,426,82
2009,18.75398176971534,813.7515246138385,431,136
2010,18.640368416819367,776.6487516047199,434,127
